"id","country_id:id","name","code"
state_es_1,base.es,"Alava","01"
state_es_2,base.es,"Albacete","02"
state_es_3,base.es,"Alicante","03"
state_es_4,base.es,"Almería","04"
state_es_5,base.es,"Avila","05"
state_es_6,base.es,"Badajoz","06"
state_es_7,base.es,"Baleares","07"
state_es_8,base.es,"Barcelona","08"
state_es_9,base.es,"Burgos","09"
state_es_10,base.es,"Cáceres","10"
state_es_11,base.es,"Cádiz","11"
state_es_12,base.es,"Castellón","12"
state_es_13,base.es,"Ciudad Real","13"
state_es_14,base.es,"Córdoba","14"
state_es_15,base.es,"La Coruña","15"
state_es_16,base.es,"Cuenca","16"
state_es_17,base.es,"Gerona","17"
state_es_18,base.es,"Granada","18"
state_es_19,base.es,"Guadalajara","19"
state_es_20,base.es,"Guipuzcoa","20"
state_es_21,base.es,"Huelva","21"
state_es_22,base.es,"Huesca","22"
state_es_23,base.es,"Jaen","23"
state_es_24,base.es,"León","24"
state_es_25,base.es,"Lérida","25"
state_es_26,base.es,"La Rioja","26"
state_es_27,base.es,"Lugo","27"
state_es_28,base.es,"Madrid","28"
state_es_29,base.es,"Málaga","29"
state_es_30,base.es,"Murcia","30"
state_es_31,base.es,"Navarra","31"
state_es_32,base.es,"Orense","32"
state_es_33,base.es,"Asturias","33"
state_es_34,base.es,"Palencia","34"
state_es_35,base.es,"Las Palmas","35"
state_es_36,base.es,"Pontevedra","36"
state_es_37,base.es,"Salamanca","37"
state_es_38,base.es,"Santa Cruz de Tenerife","38"
state_es_39,base.es,"Cantabria","39"
state_es_40,base.es,"Segovia","40"
state_es_41,base.es,"Sevilla","41"
state_es_42,base.es,"Soria","42"
state_es_43,base.es,"Tarragona","43"
state_es_44,base.es,"Teruel","44"
state_es_45,base.es,"Toledo","45"
state_es_46,base.es,"Valencia","46"
state_es_47,base.es,"Valladolid","47"
state_es_48,base.es,"Vizcaya","48"
state_es_49,base.es,"Zamora","49"
state_es_50,base.es,"Zaragoza","50"
state_es_51,base.es,"Ceuta","51"
state_es_52,base.es,"Melilla","52"
