"id","code","name","extendable"
"__export__.hr_contract_type_4","A","ANEXO JORNADA","False"
"__export__.hr_contract_type_5","B","BECARIO","False"
"__export__.hr_contract_type_6","1","COMUNICACIÓN AL SEF (INEM)","False"
"__export__.hr_contract_type_7","E","EVENTUAL","True"
"__export__.hr_contract_type_8","402","EVENTUAL T/C","True"
"__export__.hr_contract_type_9","502","EVENTUAL T/P","True"
"__export__.hr_contract_type_10","300","INDEF. F/DISCONTINUO","False"
"__export__.hr_contract_type_11","389","INDEF. F/DISCONTINUO TRANSFORMAC","False"
"__export__.hr_contract_type_12","230","INDEF. INICIAL BONIF. MINUSV. T/P","False"
"__export__.hr_contract_type_13","100","INDEF. INICIAL T/C NO INCENT","False"
"__export__.hr_contract_type_14","200","INDEF. INICIAL T/P NO INCENTIV","False"
"__export__.hr_contract_type_15","130","INDEF. MINUSVAL T/C","False"
"__export__.hr_contract_type_16","109","INDEF. TRANSF. T/C INCENTIVADO","False"
"__export__.hr_contract_type_17","189","INDEF. TRANSF. T/C NO INCENTIV","False"
"__export__.hr_contract_type_18","209","INDEF. TRANSF. T/P INCENTIV","False"
"__export__.hr_contract_type_19","F","INDEFINIDO","False"
"__export__.hr_contract_type_20","150","INDEF. T/C INICIAL","False"
"__export__.hr_contract_type_21","289","INDEF. T/C TRANSFORMACIÓN","False"
"__export__.hr_contract_type_22","250","INDEF. T/PARCIAL INICIAL","False"
"__export__.hr_contract_type_23","410","INTERIN. T/C DURAC DETERM","False"
"__export__.hr_contract_type_24","510","INTERIN. T/P DURAC DETERM","False"
"__export__.hr_contract_type_25","401","OBRA/SERV. T/C","False"
"__export__.hr_contract_type_26","501","OBRA/SERV. T/P","False"
"__export__.hr_contract_type_27","PRR","PRORROGA","False"
"__export__.hr_contract_type_28","541","RELEVO TIEMPO PARCIAL - TEMPORAL","False"
"__export__.hr_contract_type_29","S","SUBCONTRATA","False"
"__export__.hr_contract_type_30","SUB","SUBROGACION","False"
"__export__.hr_contract_type_31","421","TEMPORAL T/C FORMACION","True"
"__export__.hr_contract_type_32","430","TEMPORAL T/C MINUSVAL","True"
"__export__.hr_contract_type_33","420","TEMPORAL T/C PRACTICAS","True"
"__export__.hr_contract_type_34","441","TEMPORAL T/C RELEVO","True"
"__export__.hr_contract_type_35","540","TEMPORAL T/P JUBILAC PARCIAL","True"
"__export__.hr_contract_type_36","530","TEMPORAL T/P MINUSVALIDO","True"
"__export__.hr_contract_type_37","520","TEMPORAL T/P PRACTICAS","True"
"__export__.hr_contract_type_38","550","TRABAJADORES DESEMPLEADOS S/LEY 43/2006 DE 29 DICIEMBRE","False"
