"id","date","name","type"
"__export__.res_public_holiday_1","2015-01-01","AÑO NUEVO","0"
"__export__.res_public_holiday_2","2015-01-06","EPIFANÍA DEL SEÑOR","0"
"__export__.res_public_holiday_3","2015-03-19","SAN JOSÉ","0"
"__export__.res_public_holiday_4","2015-04-02","JUEVES SANTO","0"
"__export__.res_public_holiday_5","2015-04-03","VIERNES SANTO","0"
"__export__.res_public_holiday_7","2015-05-01","FIESTA DEL TRABAJO","0"
"__export__.res_public_holiday_8","2015-06-09","DÍA DE LA REGIÓN DE MURCIA","0"
"__export__.res_public_holiday_9","2015-08-15","ASUNCIÓN DE LA VIRGEN","0"
"__export__.res_public_holiday_10","2015-09-15","DÍA DE LA ROMERÍA","0"
"__export__.res_public_holiday_6","2015-09-22","BANDO DE LA HUERTA","0"
"__export__.res_public_holiday_11","2015-10-12","FIESTA NACIONAL ESPAÑOLA","0"
"__export__.res_public_holiday_12","2015-12-07","DÍA DE LA CONSTITUCIÓN ESPAÑOLA","0"
"__export__.res_public_holiday_13","2015-12-08","INMACULADA CONCEPCIÓN","0"
"__export__.res_public_holiday_14","2015-12-25","NATIVIDAD DEL SEÑOR","0"
